hub,eligible_lots,floor_lots,floor_capacity,floor_vacancy_lower_pct,floor_vacancy_upper_pct,range_width_pp,interpretation
miasageori,375,375,833,19.447779111644657,34.57382953181273,15.126050420168067,existing_unknown_floor_assignment_range_not_confidence_interval
mokdong-yc,259,259,702,17.37891737891738,30.76923076923077,13.39031339031339,existing_unknown_floor_assignment_range_not_confidence_interval
mullae,336,336,690,14.347826086956516,29.71014492753623,15.36231884057971,existing_unknown_floor_assignment_range_not_confidence_interval
myeongdong,610,608,2201,13.58473421172195,34.257155838255336,20.672421626533392,existing_unknown_floor_assignment_range_not_confidence_interval
nambu,220,220,670,12.537313432835816,29.850746268656714,17.313432835820894,existing_unknown_floor_assignment_range_not_confidence_interval
namdaemun,169,169,499,14.228456913827658,43.48697394789579,29.258517034068138,existing_unknown_floor_assignment_range_not_confidence_interval
nokdu,173,173,438,27.397260273972602,46.57534246575342,19.17808219178082,existing_unknown_floor_assignment_range_not_confidence_interval
nonhyeon,549,549,1796,12.639198218262804,29.064587973273948,16.425389755011135,existing_unknown_floor_assignment_range_not_confidence_interval
noryangjin,235,235,585,20.512820512820518,49.23076923076923,28.71794871794872,existing_unknown_floor_assignment_range_not_confidence_interval
oryudong,162,162,368,14.945652173913048,39.402173913043484,24.456521739130434,existing_unknown_floor_assignment_range_not_confidence_interval
sadang,238,238,708,6.779661016949157,18.36158192090396,11.581920903954803,existing_unknown_floor_assignment_range_not_confidence_interval
samcheong,278,278,474,11.814345991561181,46.20253164556962,34.38818565400844,existing_unknown_floor_assignment_range_not_confidence_interval
sangbong,274,274,580,18.103448275862068,37.41379310344828,19.310344827586206,existing_unknown_floor_assignment_range_not_confidence_interval
sanggye,323,323,675,19.703703703703702,35.25925925925926,15.555555555555555,existing_unknown_floor_assignment_range_not_confidence_interval
seochon,442,442,860,11.860465116279073,36.51162790697674,24.651162790697676,existing_unknown_floor_assignment_range_not_confidence_interval
seolleung,520,520,2104,11.45437262357415,24.762357414448665,13.307984790874524,existing_unknown_floor_assignment_range_not_confidence_interval
seongsu,324,324,852,11.150234741784038,30.63380281690141,19.483568075117372,existing_unknown_floor_assignment_range_not_confidence_interval
seoulsup,326,326,807,11.524163568773238,23.420074349442377,11.895910780669144,existing_unknown_floor_assignment_range_not_confidence_interval
sharosugil,306,306,797,13.048933500627358,26.47427854454203,13.42534504391468,existing_unknown_floor_assignment_range_not_confidence_interval
sillim,550,550,1409,14.83321504613201,30.589070262597584,15.755855216465578,existing_unknown_floor_assignment_range_not_confidence_interval
sinchon,690,690,1972,17.190669371196755,33.92494929006086,16.734279918864097,existing_unknown_floor_assignment_range_not_confidence_interval
songridan,301,301,866,9.006928406466507,22.401847575057733,13.394919168591224,existing_unknown_floor_assignment_range_not_confidence_interval
sukmyung,301,301,673,15.453194650817236,29.123328380386326,13.670133729569093,existing_unknown_floor_assignment_range_not_confidence_interval
sungshin,353,353,876,12.671232876712324,32.534246575342465,19.863013698630137,existing_unknown_floor_assignment_range_not_confidence_interval
suyu,578,578,1388,18.01152737752162,31.772334293948123,13.760806916426512,existing_unknown_floor_assignment_range_not_confidence_interval
teheran,534,534,1959,11.485451761102606,24.45125063808066,12.96579887697805,existing_unknown_floor_assignment_range_not_confidence_interval
wangsimni,469,469,1072,13.339552238805974,28.638059701492537,15.298507462686567,existing_unknown_floor_assignment_range_not_confidence_interval
yeonhui,240,240,613,14.355628058727564,35.23654159869495,20.880913539967374,existing_unknown_floor_assignment_range_not_confidence_interval
yeonnam,770,770,2123,12.52943947244466,23.127649552520026,10.598210080075365,existing_unknown_floor_assignment_range_not_confidence_interval
yeonsinnae,503,503,1219,20.836751435602952,33.63412633305989,12.797374897456931,existing_unknown_floor_assignment_range_not_confidence_interval
yeouido,73,73,346,8.670520231213874,24.56647398843931,15.895953757225433,existing_unknown_floor_assignment_range_not_confidence_interval
yongsan,149,149,305,10.163934426229504,24.91803278688525,14.754098360655737,existing_unknown_floor_assignment_range_not_confidence_interval
